time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
132,4228,31,604,0.05,0.001,0.018116388469934464,2063
132,4235,31,605,0.05,0.001,0.034031834453344345,2067
132,4242,32,606,0.05,0.001,0.02548965997993946,2070
132,4249,32,607,0.05,0.001,0.019480057060718536,2074
132,4256,32,608,0.05,0.001,0.027148308232426643,2077
132,4263,32,609,0.05,0.001,0.03305702283978462,2081
132,4270,32,610,0.05,0.001,0.019119059666991234,2084
132,4277,32,611,0.05,0.001,0.016525061801075935,2088
132,4284,32,612,0.05,0.001,0.0330987349152565,2091
132,4291,32,613,0.05,0.001,0.030548835173249245,2095
132,4298,32,614,0.05,0.001,0.013560152612626553,2098
132,4305,32,615,0.05,0.001,0.04576526954770088,2102
132,4312,32,616,0.05,0.001,0.013964382000267506,2105
132,4319,32,617,0.05,0.001,0.02991921454668045,2109
132,4326,32,618,0.05,0.001,0.021152198314666748,2112
132,4333,32,619,0.05,0.001,0.032195668667554855,2116
132,4340,32,620,0.05,0.001,0.025211943313479424,2119
132,4347,32,621,0.05,0.001,0.026984019204974174,2123
132,4354,32,622,0.05,0.001,0.020065907388925552,2126
132,4361,32,623,0.05,0.001,0.027053626254200935,2130
132,4368,32,624,0.05,0.001,0.02074248157441616,2133
132,4375,32,625,0.05,0.001,0.0331006795167923,2137
132,4382,32,626,0.05,0.001,0.016850309446454048,2140
132,4389,33,627,0.05,0.001,0.02781662903726101,2144
132,4396,33,628,0.05,0.001,0.046555209904909134,2147
132,4403,33,629,0.05,0.001,0.029452351853251457,2151
132,4410,33,630,0.05,0.001,0.019043421372771263,2154
132,4417,33,631,0.05,0.001,0.025311656296253204,2158
133,4424,33,632,0.05,0.001,0.018015289679169655,2161
133,4431,33,633,0.05,0.001,0.0387740284204483,2165
133,4438,33,634,0.05,0.001,0.014263738878071308,2168
133,4445,33,635,0.05,0.001,0.026397908106446266,2172
133,4452,33,636,0.05,0.001,0.03508000075817108,2175
132,4459,33,637,0.05,0.001,0.015590403228998184,2179
132,4466,33,638,0.05,0.001,0.05184542015194893,2182
132,4473,33,639,0.05,0.001,0.01617964170873165,2186
132,4480,33,640,0.05,0.001,0.022988470271229744,2189
132,4487,33,641,0.05,0.001,0.022941485047340393,2193
133,4494,33,642,0.05,0.001,0.03752541169524193,2196
133,4501,33,643,0.05,0.001,0.015340623445808887,2200
133,4508,33,644,0.05,0.001,0.012537120841443539,2203
133,4515,33,645,0.05,0.001,0.03093728795647621,2207
133,4522,33,646,0.05,0.001,0.031428731977939606,2210
133,4529,34,647,0.05,0.001,0.026831094175577164,2214
133,4536,34,648,0.05,0.001,0.014052150771021843,2217
133,4543,34,649,0.05,0.001,0.029298745095729828,2221
133,4550,34,650,0.05,0.001,0.021720238029956818,2224
133,4557,34,651,0.05,0.001,0.02914360538125038,2228
133,4564,34,652,0.05,0.001,0.015619831159710884,2231
133,4571,34,653,0.05,0.001,0.0244881771504879,2235
133,4578,34,654,0.05,0.001,0.022945502772927284,2238
133,4585,34,655,0.05,0.001,0.027597451582551003,2242
133,4592,34,656,0.05,0.001,0.036961283534765244,2245
133,4599,34,657,0.05,0.001,0.027974426746368408,2249
133,4606,34,658,0.05,0.001,0.027198107913136482,2252
133,4613,34,659,0.05,0.001,0.027550775557756424,2256
133,4620,34,660,0.05,0.001,0.016070924699306488,2259
133,4627,34,661,0.05,0.001,0.021507592871785164,2263
133,4634,34,662,0.05,0.001,0.023712361231446266,2266
133,4641,34,663,0.05,0.001,0.02713940106332302,2270
133,4648,34,664,0.05,0.001,0.03292633220553398,2273
133,4655,34,665,0.05,0.001,0.021700963377952576,2277
133,4662,34,666,0.05,0.001,0.02997146174311638,2280
133,4669,34,667,0.05,0.001,0.029723910614848137,2284
133,4676,34,668,0.05,0.001,0.026076290756464005,2287
133,4683,35,669,0.05,0.001,0.03101920709013939,2291
133,4690,35,670,0.05,0.001,0.036238204687833786,2294
133,4697,35,671,0.05,0.001,0.03661462664604187,2298
133,4704,35,672,0.05,0.001,0.01907140389084816,2301
133,4711,35,673,0.05,0.001,0.03610878437757492,2305
133,4718,35,674,0.05,0.001,0.03885556012392044,2308
133,4725,35,675,0.05,0.001,0.018793748691678047,2312
